Object Type,Property,Name,English [en-US],Spanish [es-ES]
Table,Caption,Customers,Customers,Clientela
Column,Caption,Customers[City],City,Ciudad
Column,Caption,Customers[Customer],Customer,Cliente
Column,Caption,Customers[Country],Country,País
Column,Caption,Customers[City Location],City Location,Ubicación De La Ciudad
Column,Caption,Customers[Flag],Flag,Bandera
Column,Caption,Customers[Age],Age,Edad
Table,Caption,Sales,Sales,Ventas
Measure,Caption,Sales[Sales Revenue],Sales Revenue,Ingresos Por Ventas
Measure,Caption,Sales[Units Sold],Units Sold,Unidades Vendidas
Measure,Caption,Sales[Customers],Customers,Clientela
Measure,Caption,Sales[First Sale],First Sale,Primera Venta
Measure,Caption,Sales[Last Sale],Last Sale,Última Venta
Measure,Caption,Sales[Orders],Orders,Órdenes
Measure,Caption,Sales[Ranking],Ranking,Clasificación
Measure,Caption,Sales[Rank],Rank,Rango
Table,Caption,Products,Products,Productos
Column,Caption,Products[Product],Product,Producto
Column,Caption,Products[Price],Price,Precio
Column,Caption,Products[Product Image],Product Image,Imagen Del Producto
Column,Caption,Products[Category],Category,Categoría
Table,Caption,Calendar,Calendar,Calendario
Column,Caption,Calendar[Date],Date,Fecha
Column,Caption,Calendar[Year],Year,Año
Column,Caption,Calendar[Quarter],Quarter,Cuatrimestre
Column,Caption,Calendar[Month],Month,Mes
Column,Caption,Calendar[Day],Day,Día
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,Informe De Ventas De Productos
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,Resumen De Ventas
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,Ventas Por País
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,Ventas Por Producto
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,Filtrar Por País
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,Top 10 Clientes
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,Catálogo De Productos
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,Establecer Filtro De Producto
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,Establecer Filtro De País
Measure,Caption,Localized Labels[Time Slices],Time Slices,Intervalos De Tiempo
